PROBE_V1
p=0.002856120155446 q=547.76569688610948
p=0.0028561201554462498 q=547.76569688610959
p=0.0028561201554465 q=547.76569688610982
p=0.0028561201554467498 q=547.76569688610994
p=0.0028561201554470001 q=547.76569688611005
p=0.0028561201554472499 q=547.76569688611016
p=0.0028561201554475001 q=547.76569688611039
p=0.0028561201554477499 q=547.7656968861105
p=0.0028561201554480001 q=547.76569688611062
p=0.0028561201554482499 q=547.76569688611085
p=0.0028561201554485002 q=547.76569688611096
p=0.00285612015544875 q=547.76569688611107
p=0.0028561201554489998 q=547.76569688611119
p=0.00285612015544925 q=547.76569688611141
p=0.0028561201554494998 q=547.76569688611153
p=0.00285612015544975 q=547.76569688611164
p=0.0028561201554499998 q=547.76569688611187
p=0.0028561201554502501 q=547.76569688611198
p=0.0028561201554504999 q=547.7656968861121
p=0.0028561201554507501 q=547.76569688611221
p=0.0028561201554509999 q=547.76569688611244
p=0.0028561201554512501 q=547.76569688611255
p=0.0028561201554514999 q=547.76569688611266
p=0.0028561201554517502 q=547.76569688611289
p=0.002856120155452 q=547.76569688611301
p=0.0028561201554522498 q=547.76569688611312
p=0.0028561201554525 q=547.76569688611335
p=0.0028561201554527498 q=547.76569688611346
p=0.0028561201554530001 q=547.76569688611357
p=0.0028561201554532499 q=547.76569688611369
p=0.0028561201554535001 q=547.7656968861138
p=0.0028561201554537499 q=547.76569688611403
p=0.0028561201554540001 q=547.76569688611414
p=0.0028561201554542499 q=547.76569688611426
p=0.0028561201554545002 q=547.76569688611448
p=0.00285612015545475 q=547.7656968861146
p=0.0028561201554550002 q=547.76569688611471
p=0.00285612015545525 q=547.76569688611494
p=0.0028561201554554998 q=547.76569688611505
p=0.00285612015545575 q=547.76569688611517
p=0.0028561201554559998 q=547.76569688611528
p=0.0028561201554562501 q=547.76569688611551
p=0.0028561201554564999 q=547.76569688611562
p=0.0028561201554567501 q=547.76569688611573
p=0.0028561201554569999 q=547.76569688611585
p=0.0028561201554572501 q=547.76569688611607
p=0.0028561201554574999 q=547.76569688611619
p=0.0028561201554577502 q=547.7656968861163
p=0.002856120155458 q=547.76569688611653
p=0.0028561201554582498 q=547.76569688611664
p=0.0028561201554585 q=547.76569688611676
p=0.0028561201554587498 q=547.76569688611687
p=0.002856120155459 q=547.7656968861171
p=0.0028561201554592498 q=547.76569688611721
p=0.0028561201554595001 q=547.76569688611733
p=0.0028561201554597499 q=547.76569688611744
p=0.0028561201554600001 q=547.76569688611767
p=0.0028561201554602499 q=547.76569688611778
p=0.0028561201554605001 q=547.76569688611789
