PROBE_V1
p=0.0028561201554455 q=539.85836953171918
p=0.0028561201554457498 q=539.85836953171975
p=0.002856120155446 q=539.85836953172054
p=0.0028561201554462498 q=539.85836953172122
p=0.0028561201554465 q=539.85836953172191
p=0.0028561201554467498 q=539.85836953172236
p=0.0028561201554470001 q=539.85836953172316
p=0.0028561201554472499 q=539.85836953172384
p=0.0028561201554475001 q=539.85836953172452
p=0.0028561201554477499 q=539.85836953172497
p=0.0028561201554480001 q=539.85836953172566
p=0.0028561201554482499 q=539.85836953172645
p=0.0028561201554485002 q=539.85836953172702
p=0.00285612015544875 q=539.85836953172759
p=0.0028561201554489998 q=539.85836953172827
p=0.00285612015544925 q=539.85836953172907
p=0.0028561201554494998 q=539.85836953172964
p=0.00285612015544975 q=539.8583695317302
p=0.0028561201554499998 q=539.85836953173089
p=0.0028561201554502501 q=539.85836953173168
p=0.0028561201554504999 q=539.85836953173225
p=0.0028561201554507501 q=539.85836953173282
p=0.0028561201554509999 q=539.8583695317335
p=0.0028561201554512501 q=539.8583695317343
p=0.0028561201554514999 q=539.85836953173498
p=0.0028561201554517502 q=539.85836953173566
p=0.002856120155452 q=539.85836953173623
p=0.0028561201554522498 q=539.85836953173668
p=0.0028561201554525 q=539.85836953173748
p=0.0028561201554527498 q=539.85836953173816
p=0.0028561201554530001 q=539.85836953173884
p=0.0028561201554532499 q=539.8583695317393
p=0.0028561201554535001 q=539.85836953173998
p=0.0028561201554537499 q=539.85836953174078
p=0.0028561201554540001 q=539.85836953174135
p=0.0028561201554542499 q=539.85836953174191
p=0.0028561201554545002 q=539.8583695317426
p=0.00285612015545475 q=539.85836953174328
p=0.0028561201554550002 q=539.85836953174396
p=0.00285612015545525 q=539.85836953174453
p=0.0028561201554554998 q=539.85836953174521
p=0.00285612015545575 q=539.85836953174578
p=0.0028561201554559998 q=539.85836953174658
p=0.0028561201554562501 q=539.85836953174726
p=0.0028561201554564999 q=539.85836953174783
p=0.0028561201554567501 q=539.85836953174839
p=0.0028561201554569999 q=539.85836953174908
p=0.0028561201554572501 q=539.85836953174987
p=0.0028561201554574999 q=539.85836953175044
p=0.0028561201554577502 q=539.85836953175101
p=0.002856120155458 q=539.8583695317518
p=0.0028561201554582498 q=539.85836953175249
p=0.0028561201554585 q=539.85836953175317
p=0.0028561201554587498 q=539.85836953175385
p=0.002856120155459 q=539.85836953175431
p=0.0028561201554592498 q=539.8583695317551
p=0.0028561201554595001 q=539.85836953175578
p=0.0028561201554597499 q=539.85836953175624
p=0.0028561201554600001 q=539.85836953175692
p=0.0028561201554602499 q=539.85836953175772
p=0.0028561201554605001 q=539.85836953175829
